"Town","FIPS","Year","Abused Substance","Outcome","Measure Type","Variable","Value"
"Old Saybrook",900757320,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",6
"Orange",900957600,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",9
"Oxford",900958300,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Plainfield",901559980,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",30
"Plainville",900360120,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",25
"Plymouth",900560750,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"Pomfret",901561030,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Portland",900761800,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Preston",901162150,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",11
"Prospect",900962290,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Putnam",901562710,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Redding",900163480,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Ridgefield",900163970,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"Rocky Hill",900365370,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Roxbury",900565930,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",0
"Salem",901166210,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"Salisbury",900566420,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"Scotland",901567400,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Seymour",900967610,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",13
"Sharon",900567960,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",0
"Shelton",900168170,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",11
"Sherman",900168310,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",0
"Simsbury",900368940,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",6
"Somers",901369220,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",6
"South Windsor",900371390,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",9
"Southbury",900969640,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",7
"Southington",900370550,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",15
"Sprague",901171670,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Stafford",901372090,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",9
"Stamford",900173070,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",56
"Sterling",901573420,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Stonington",901173770,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",20
"Stratford",900174190,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",30
"Suffield",900374540,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"Thomaston",900575730,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",9
"Thompson",901575870,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",13
"Tolland",901376290,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",8
"Torrington",900576570,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",13
"Trumbull",900177200,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",12
"Union",901377830,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Vernon",901378250,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",12
"Voluntown",901178600,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"Wallingford",900978740,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",28
"Warren",900579510,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",0
"Washington",900579720,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"Waterbury",900980070,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",38
"Waterford",901180280,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",16
"Watertown",900580490,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",11
"West Hartford",900382590,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",17
"West Haven",900982870,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",18
"Westbrook",900781680,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",6
"Weston",900183430,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",0
"Westport",900183500,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",10
"Wethersfield",900384900,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",14
"Willington",901385950,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Wilton",900186370,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"Winchester",900586440,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Windham",901586790,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",19
"Windsor",900387000,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",17
"Windsor Locks",900387070,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",9
"Wolcott",900987560,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",6
"Woodbridge",900987700,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",6
"Woodbury",900587910,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"Woodstock",901588190,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"Lower Fairfield County Regional Action Council",9000000000011,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",97
"Mid-Fairfield Substance Abuse Coalition",9000000000012,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",50
"Regional Youth/Adult Social Action Project",9000000000014,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",153
"South Central CT Substance Abuse Council",9000000000015,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",142
"Greater Valley Substance Abuse Action Council",9000000000016,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",171
"Middlesex County Substance Abuse Action Council",9000000000017,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",91
"Northeast Communities Against Substance Abuse",9000000000018,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",153
"Southeastern Regional Action Council",9000000000019,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",237
"East of the River Action for Substance Elimination",9000000000020,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",170
"Capitol Area Substance Abuse Council",9000000000021,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",164
"Substance Abuse Action Council",9000000000022,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",148
"Housatonic Valley Coalition Against Substance Abuse",9000000000023,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",108
"Central Naugatuck Valley Regional Action Council",9000000000024,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",109
"Andover",901301080,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",0
"Ansonia",900901220,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",6
"Ashford",901501430,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Avon",900302060,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Barkhamsted",900502760,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",6
"Beacon Falls",900903250,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Berlin",900304300,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",12
"Bethany",900904580,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Bethel",900104720,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Bethlehem",900504930,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",0
"Bloomfield",900305910,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",7
"Bolton",901306260,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"Bozrah",901106820,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Branford",900907310,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",19
"Bridgeport",900108070,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",43
"Bridgewater",900508210,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Bristol",900308490,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",37
"Brookfield",900108980,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",8
"Brooklyn",901509190,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"Burlington",900310100,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Canaan",900510940,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Canterbury",901512130,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"Canton",900312270,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"Chaplin",901513810,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Cheshire",900914160,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",11
"Chester",900714300,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Clinton",900715350,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Colchester",901115910,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",20
"Colebrook",900516050,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Columbia",901316400,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",0
"Connecticut",9,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1826
"Cornwall",900517240,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Coventry",901317800,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",14
"Cromwell",900718080,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",15
"Danbury",900118500,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",57
"Darien",900118850,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",14
"Deep River",900719130,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Derby",900919550,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",10
"Durham",900720810,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"East Granby",900322070,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"East Haddam",900722280,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",6
"East Hampton",900722490,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",6
"East Hartford",900322630,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",24
"East Haven",900922910,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",10
"East Lyme",901123400,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",12
"East Windsor",900324800,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",14
"Eastford",901521860,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Easton",900123890,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"Ellington",901325360,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",7
"Enfield",900325990,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",20
"Essex",900726270,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"Fairfield",900126620,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",23
"Farmington",900327600,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",21
"Franklin",901129910,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Glastonbury",900331240,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",12
"Goshen",900532290,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Granby",900332640,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Greenwich",900133620,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",22
"Griswold",901133900,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",11
"Groton",901134250,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",16
"Guilford",900934950,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",14
"Haddam",900735230,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"Hamden",900935650,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",25
"Hampton",901536000,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",0
"Hartford",900337070,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",29
"Hartland",900337140,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Harwinton",900537280,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"Hebron",901337910,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"Kent",900540290,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"Killingly",901540500,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",18
"Killingworth",900740710,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",6
"Lebanon",901142390,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",9
"Ledyard",901142600,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",14
"Lisbon",901143230,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"Litchfield",900543370,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Lyme",901144210,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",0
"Madison",900944560,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"Manchester",900344700,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",40
"Mansfield",901344910,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",11
"Marlborough",900345820,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Meriden",900946520,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",28
"Middlebury",900946940,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",9
"Middlefield",900747080,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"Middletown",900747360,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",24
"Milford",900947535,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",25
"Monroe",900148620,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",8
"Montville",901148900,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",21
"Morris",900549460,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Naugatuck",900949950,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",14
"New Britain",900350440,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",27
"New Canaan",900150580,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",8
"New Fairfield",900150860,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"New Hartford",900551350,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"New Haven",900952070,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",60
"New London",901152350,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",16
"New Milford",900552630,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",14
"Newington",900352140,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",20
"Newtown",900152980,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",9
"Norfolk",900553470,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"North Branford",900953890,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"North Canaan",900554030,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",10
"North Haven",900954870,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",24
"North Stonington",901155500,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",7
"Norwalk",900156060,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",36
"Norwich",901156270,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",43
"Old Lyme",901157040,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",6
"Old Saybrook",900757320,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",13
"Orange",900957600,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",7
"Oxford",900958300,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Plainfield",901559980,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",19
"Plainville",900360120,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",19
"Plymouth",900560750,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"Pomfret",901561030,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",0
"Portland",900761800,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Preston",901162150,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"Prospect",900962290,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"Putnam",901562710,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",11
"Redding",900163480,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",6
"Ridgefield",900163970,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",10
"Rocky Hill",900365370,2003,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",6
